POA_CODE_2016,Population,Age_0_4_yr_P,Age_5_14_yr_P,Age_15_19_yr_P,Age_20_24_yr_P,Age_25_34_yr_P,Age_35_44_yr_P,Age_45_54_yr_P,Age_55_64_yr_P,Age_65_74_yr_P,Age_75_84_yr_P,Age_85_ov_P
POA2600,7247,326,735,412,316,859,907,1084,990,950,420,254
POA2601,6363,76,40,1375,2233,1554,416,276,226,115,25,31
POA2602,30450,1761,3344,1503,2726,5387,4493,4022,3038,1958,1415,799
POA2603,9359,394,1092,571,524,1371,1155,1470,1204,849,406,315
POA2604,10383,541,846,460,594,2401,1534,1409,1212,666,424,310
POA2605,11725,646,1668,663,521,1146,1560,1752,1346,1039,857,532
POA2606,9422,524,931,443,601,2075,1399,1152,871,738,516,177
POA2607,13614,705,1683,899,795,1429,1747,1954,1630,1503,907,369
POA2609,887,43,46,36,51,107,106,164,143,130,49,14
POA2611,28018,2016,3714,1404,1339,3871,4351,3580,2788,2859,1501,591
POA2612,16184,517,862,1039,2863,4543,1911,1609,1282,895,443,230
POA2614,19390,1203,2449,997,1282,2509,2721,2505,1960,1998,1228,538
POA2615,44177,3524,6045,2563,2606,6658,7009,5337,4701,3876,1439,420
POA2617,32503,1893,2921,1889,4221,6473,4436,3343,3438,2447,989,446
POA2618,1445,64,202,123,81,104,206,226,193,175,70,7
POA2900,1930,123,102,69,140,468,267,214,231,199,85,25
POA2902,14900,1017,1952,942,780,1695,2092,2001,2040,1716,551,119
POA2903,9207,605,1196,571,529,1083,1269,1246,1415,920,290,84
POA2904,12863,759,1524,839,763,1415,1543,1807,2127,1204,555,329
POA2905,28625,2035,3752,2016,2022,4248,3795,4227,3820,1729,744,238
POA2906,17633,1276,2353,1445,1321,2364,2421,3048,1866,939,471,131
POA2911,4466,553,539,172,327,1202,869,391,237,117,53,9
POA2912,6142,480,730,378,677,1337,1073,719,450,202,73,20
POA2913,35053,3047,4610,2254,2496,6952,5750,4543,2921,1687,665,138
POA2914,25204,2700,4459,1488,1530,4612,5273,2887,1352,630,237,43
